Token,Frequency
", mají obavy na pracovišti a my se o to staráme, ale v rámci našeho oddělení. staráme se o všechno. odpadní voda, ehm",1
", mají obavy na pracovišti a my se o to staráme, ale v rámci našeho oddělení.  staráme se o všechno.  odpadní voda, ehm",1
oni,1
" pořád tu jsou, mají venku ",1
"nové c d, ale ",1
 bych si ho nekoupil. protože ,1
", co se stane je, že ti starí, ",1
" kde-, ",1
", je to ",1
 jako ,1
" osmdesátá léta se nazývají, ",1
" progresivní léta, ",1
 nebo ,1
